alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.1,0,81.0,0.0,64.17666666666673,0.0,0
0.2,0,73.0,0.0,62.58333333333336,0.0,0
0,0.2,102.0,0.0,53.72,0.0,1
0,0.1,107.0,0.0,50.99666666666667,0.0,1
0,0.0,138.0,0.0,44.79999999999998,0.0,1
0.0,0,138.0,0.0,44.79999999999998,0.0,0
0.3,0,3.0,0.0,85.89333333333337,0.0,0
0.5,0,14.0,0.0,85.7066666666666,0.0,0
0.6,0,40.0,0.0,79.05666666666659,0.0,0
0,0.3,136.0,0.0,43.88999999999998,0.0,1
0.4,0,126.0,0.0,46.760000000000005,0.0,0
0,0.4,136.0,0.0,42.276666666666664,0.0,1
0,0.5,152.0,0.0,39.97666666666667,0.0,1
0,0.6,72.0,0.0,68.76999999999997,0.0,1
0.7,0,54.0,0.0,74.01999999999994,0.0,0
0,0.7,44.0,0.0,78.17999999999996,0.0,1
0.8,0,85.0,0.0,64.08999999999995,0.0,0
0,0.8,84.0,0.0,64.67999999999999,0.0,1
1.0,0,21.0,0.0,87.35666666666663,0.0,0
0,1.0,20.0,0.0,88.19333333333327,0.0,1
0.9,0,114.0,0.0,53.919999999999945,0.0,0
0,0.9,161.0,0.0,38.740000000000016,0.0,1
